categories                                     ;code                                      ;description
Equipment & Magic, Armor, Helms                ;Omensmirk Mask                            ;Mask with long, hideously twisted horns worn by the Omenkillers.
Equipment & Magic, Armor, Helms                ;Page Hood                                 ;Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way.
Equipment & Magic, Armor, Helms                ;Perfumer Hood                             ;"Hood of an Erdtree Capital perfumer. In time past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.  "
Equipment & Magic, Armor, Helms                ;Preceptor's Big Hat                       ;Large hat with the movements of the stars drawn on the inside of the brim.  Increases mind to the detriment of stamina. Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain of aware of. Even if their fate has been long severed from the stars.
Equipment & Magic, Armor, Helms                ;Prisoner Iron Mask                        ;Iron mask forced on a prisoner convicted of an appalling crime.
Equipment & Magic, Armor, Helms                ;Prophet Blindfold                         ;Blindfold of exiled prophets who foretold misfortune — and were persecuted and driven from their homes as a result.
Equipment & Magic, Armor, Helms                ;Pumpkin Helm                              ;An oval helmet large enough to cover any head.
Equipment & Magic, Armor, Helms                ;Radahn's Redmane Helm                     ;Helm of the golden lion, with flowing red hair. Radahn inheirted the furious, flaming red hair of his father Radagon, and is fond of its heroic impications.
Equipment & Magic, Armor, Helms                ;Raging Wolf Helm                          ;A helm worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold.
Equipment & Magic, Armor, Helms                ;Queen's Crescent Crown                    ;A tall crown depicting the moon. Worn by Rennala, Queen of the Full Moon. Increases intelligence.
Equipment & Magic, Armor, Helms                ;Radiant Gold Mask                         ;A mask designed to resemble a blazing golden halo.
Equipment & Magic, Armor, Helms                ;Rotten Duelist Helm                       ;Bronze helm decorated with innumerable snakes, eaten through by scarlet rot.
Equipment & Magic, Armor, Helms                ;Ruler's Mask                              ;Mask in the image of a wizened sage.
Equipment & Magic, Armor, Helms                ;Sage Hood                                 ;A burgundy pointed hood.
Equipment & Magic, Armor, Helms                ;Silver Tear Mask                          ;Mask fashioned from the corpse of a formless Silver Tear, supported by its hardened, shed husk.
Equipment & Magic, Armor, Helms                ;Scaled Helm                               ;Helm worn by Old Knight Istvan. Istvan is one of a few wizened Tarnished who survive to this day.
Equipment & Magic, Armor, Helms                ;Shining Horned Headband                   ;Headband decorated by a pair of shining horns. Worn by ancestral follower shamans. Horns with buds that also shine are ideal ceremonial items for ancestral worship. Strengthens Ancestral Infant's Head.
Equipment & Magic, Armor, Helms                ;Snow Witch Hat                            ;Witch's pointed hat, frigid and frozen through. Of a style associated with practitioners of heretical sorcery. Strengthens cold sorcery.
Equipment & Magic, Armor, Helms                ;Traveler's Hat                            ;Hat of a traveling perfumer of no renown.  An associate of a healer, he is said to be in search of new aromatics and flower gardens, in hopes of treating Misbegotten, Omen and all those seen as impure.
Equipment & Magic, Armor, Helms                ;Traveling Maiden Hood                     ;Hood worn by traveling maidens. Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.
Equipment & Magic, Armor, Helms                ;Twinned Helm                              ;"Helm depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.  "
Equipment & Magic, Armor, Helms                ;Twinsage Glintstone Crown                 ;One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.
Equipment & Magic, Armor, Helms                ;Vagabond Knight Helm                      ;Helm of a knight banished from their motherland. The visor is broken and can no longer be lowered.  Metal armor is heavy, but also sturdy, offering significant damage negation.
Equipment & Magic, Armor, Helms                ;Veteran's Helm                            ;An old helm that has seen many battles.Worn by Niall, the great veteran general of Sol. Nial was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away.
Equipment & Magic, Armor, Helms                ;Vulgar Militia Helm                       ;Helm worn by lean, mean, and filthy militiamen.
Equipment & Magic, Armor, Helms                ;Zamor Mask                                ;Mask worn by knights of Zamor, hailed as heroes in the War against the Giants.
Equipment & Magic, Armor, Helms                ;Glintstone Scarab                         ;Blue-green scarab worn directly on the head. Slightly reduces FP costs of sorceries, but increases damage taken.
Equipment & Magic, Armor, Helms                ;Cerulean Tear Scarab                      ;Blue scarab worn directly on the head. These scarabs roll clumps of cerulean tears during their labors. Slightly increases the recovery effects of the Flask of Cerulean Tears, but increases damage taken.
Equipment & Magic, Armor, Helms                ;Okina Mask                                ;A wooden mask that depicts an old man baring his teeth. The  The more he sharpened his mind, the more the absurdities of the Before long, Okina became a demon of a swordsman.
Equipment & Magic, Armor, Helms                ;Witch's Glintstone Crown                  ;"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence and arcane to the detriment of stamina. This gentle-looking crown was granted to a scholar who excelled in her studies, which also merited the title of ""witch."" "
